variable,count,mean,std,min,25%,50%,75%,max
record_id,14100.0,7050.5,4070.463732795073,1.0,3525.75,7050.5,10575.25,14100.0
year,14100.0,2019.9113475177305,3.118224942003507,2015.0,2017.0,2020.0,2023.0,2025.0
month,14100.0,6.4379432624113475,3.4211731717286824,1.0,3.0,6.0,9.0,12.0
week,14100.0,26.22163120567376,14.930109780608324,1.0,13.0,26.0,39.0,53.0
latitude,14100.0,18.9052,25.730497614000306,-38.41,4.57,23.63,37.09,56.13
longitude,14100.0,27.349600000000006,76.06202920108389,-106.34,-3.74,22.93,100.99,138.25
population_millions,14100.0,217.44,355.9793726147833,26.0,60.0,98.0,206.0,1411.0
temperature_celsius,14100.0,8.607112765957448,11.289937537754797,-20.74,0.2575,8.63,16.85,38.33
temp_anomaly_celsius,14100.0,0.12087943262411348,0.5063651375549696,-1.76,-0.22,0.12,0.46,2.12
precipitation_mm,14100.0,81.14943971631206,40.821462368268314,0.0,51.5,80.9,110.6,222.9
heat_wave_days,14100.0,0.14808510638297873,0.4559306724276314,0.0,0.0,0.0,0.0,5.0
drought_indicator,14100.0,0.011560283687943262,0.1068992702815463,0.0,0.0,0.0,0.0,1.0
flood_indicator,14100.0,0.005886524822695035,0.07650025296783858,0.0,0.0,0.0,0.0,1.0
extreme_weather_events,14100.0,0.16553191489361702,0.47578787847208176,0.0,0.0,0.0,0.0,5.0
pm25_ugm3,14100.0,65.77375177304965,38.102525090790124,0.0,36.6,61.2,94.3,189.5
air_quality_index,14100.0,98.75007092198581,59.14328386896844,-52.0,54.0,93.0,142.0,302.0
respiratory_disease_rate,14100.0,70.01687234042552,15.223261138749978,21.2,59.2,69.6,80.5,131.8
cardio_mortality_rate,14100.0,30.758595744680854,5.605436122307263,8.0,27.0,30.8,34.5,51.1
vector_disease_risk_score,14100.0,12.096276595744682,17.146544838395826,0.0,3.5,5.8,8.9,100.0
waterborne_disease_incidents,14100.0,22.17296453900709,6.6090174439194405,0.0,17.8,22.1,26.4,63.0
heat_related_admissions,14100.0,6.880794326241135,9.498276351125702,0.0,0.0,0.6,12.3,59.6
healthcare_access_index,14100.0,64.87567375886525,18.230095008103742,27.9,47.1,66.6,81.5,102.0
gdp_per_capita_usd,14100.0,26331.105886524823,26329.114274777345,1565.0,3548.0,13941.0,50206.5,78630.0
mental_health_index,14100.0,69.87463829787234,5.025982781409422,47.7,66.5,70.0,73.3,88.7
food_security_index,14100.0,93.29578014184398,6.295667396537902,62.2,88.8,94.4,99.7,100.0
